Nr probki	Sygnal pomiarowy
1293	2,25097656
1294	2,32421875
1295	2,27539063
1296	2,25585938
1297	2,25097656
1298	2,34130859
1299	2,34619141
1300	2,29980469
1301	2,24365234
1302	2,23632813
1303	2,25341797
1304	2,27050781
1305	2,27539063
1306	2,37548828
1307	2,37548828
1308	2,37792969
1309	2,47070313
1310	2,45605469
1311	2,42919922
1312	2,44628906
1313	2,43652344
1314	2,43408203
1315	2,36572266
1316	2,32421875
1317	2,30957031
1318	2,32177734
1319	2,31933594
1320	2,31201172
1321	2,33154297
1322	2,35595703
1323	2,37792969
1324	2,31445313
1325	2,36083984
1326	2,33154297
1327	2,32421875
1328	2,35839844
1329	2,36816406
1330	2,39990234
1331	2,39013672
1332	2,36328125
1333	2,40966797
1334	2,34375
1335	2,34130859
1336	2,32666016
1337	2,35351563
1338	2,41455078
1339	2,39257813
1340	2,36572266
1341	2,39501953
1342	2,40722656
1343	2,38037109
1344	2,34619141
1345	2,39501953
1346	2,37792969
1347	2,38525391
1348	2,41699219
1349	2,44873047
1350	2,40966797
1351	2,43896484
1352	2,39746094
1353	2,38769531
1354	2,41699219
1355	2,41943359
1356	2,39013672
1357	2,421875
1358	2,34619141
1359	2,32910156
1360	2,33886719
1361	2,33154297
1362	2,33886719
1363	2,33642578
1364	2,33886719
1365	2,34863281
1366	2,32177734
1367	2,30957031
1368	2,34619141
1369	2,37060547
1370	2,34619141
1371	2,34130859
1372	2,32910156
1373	2,35595703
1374	2,33154297
1375	2,35839844
1376	2,35107422
1377	2,32177734
1378	2,33398438
1379	2,30712891
1380	2,30712891
1381	2,27539063
1382	2,26318359
1383	2,27539063
1384	2,29736328
1385	2,28027344
1386	2,26806641
1387	2,29003906
1388	2,26318359
1389	2,2265625
1390	2,21435547
1391	2,27539063
1392	2,23632813
1393	2,22167969
1394	2,22900391
1395	2,22900391
1396	2,15576172
1397	2,20214844
1398	2,10205078
1399	2,02148438
1400	2,02880859
1401	2,12402344
1402	2,14111328
1403	2,13867188
1404	2,14111328
1405	2,109375
1406	2,03613281
1407	2,0703125
1408	2,03613281
1409	1,99951172
1410	1,9921875
1411	2,04101563
1412	2,10693359
1413	2,12402344
1414	2,09960938
1415	2,06542969
1416	2,01904297
1417	2,00195313
1418	2,03613281
1419	2,04101563
1420	2,01660156
1421	1,93359375
1422	1,87744141
1423	1,82373047
1424	1,71142578
1425	1,75048828
1426	1,84082031
1427	1,77734375
1428	1,73095703
1429	1,76025391
1430	1,72607422
1431	1,6796875
1432	1,62597656
1433	1,5625
1434	1,53076172
1435	1,484375
